Field,Label,Value
created,Created,2020-03-09T10:34:53.440664
description,Description,"Maternal and reproductive health: Adolescent birth rate (per 1000 women), Births attended by skilled health personnel (%), Number of women of reproductive age (aged 15-49 years) with anaemia (thousands), Prevalence of anaemia in women of reproductive age (aged 15-49) (%), Proportion of births delivered in a health facility (Facility births) (%), Births by caesarean section (%), Antenatal care coverage - at least four visits (%)"
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/5364d32f-f962-4919-95b6-25e92a0be1e0/resource/c42fd1f2-0276-4e86-91cd-68d9cbbfa653/download/maternal_and_reproductive_health_indicators_btn.csv
id,Resource ID,c42fd1f2-0276-4e86-91cd-68d9cbbfa653
last_modified,Updated,2025-10-15T15:55:54.552415
metadata_modified,Metadata Updated,2025-10-15T15:55:56.694346
microdata,Microdata,False
dataset_id,Dataset ID,5364d32f-f962-4919-95b6-25e92a0be1e0
resource_type,Resource Type,file.upload
name,Resource Name,Maternal and reproductive health Indicators for Bhutan
mimetype,MIME Type,
size,Size,59.7K
